Ablation ladder — is the 27-cell regime conditioning real?
All rungs scored on the SAME decision windows (gated on the conditional cell).
p05 = 5th-percentile slippage (the adverse tail). + = beats a market order at the open.
conditional reproduces run_backtest_rolling at target=0.6 (asserted).

=== Gold (tick=0.1, active days 132/296) ===
market    side tau target rung              n   fill      avg   median p05(tail)
------------------------------------------------------------------------------
Gold      sell   5   0.40 conditional   35410 45.0%   +0.218   +3.000    -15.00
Gold      sell   5   0.40 unconditional  35410 47.5%   +0.222   +3.000    -14.00
Gold      sell   5   0.50 conditional   35410 55.9%   +0.200   +3.000    -14.00
Gold      sell   5   0.50 unconditional  35410 57.9%   +0.209   +4.000    -13.00
Gold      sell   5   0.60 conditional   35410 66.1%   +0.184   +3.000    -13.00
Gold      sell   5   0.60 unconditional  35410 68.0%   +0.169   +3.000    -12.00
Gold      sell   5   0.70 conditional   35410 75.6%   +0.137   +2.000    -12.00
Gold      sell   5   0.70 unconditional  35410 77.6%   +0.101   +2.000    -11.00
Gold      sell   5   0.80 conditional   35410 85.5%   +0.053   +1.000    -10.00
Gold      sell   5   0.80 unconditional  35410 89.1%   +0.011   +1.000     -7.00
Gold      sell   5    -   persistence   35410 53.4%   +0.126   +1.000    -14.55
Gold      sell   5    -   random        35410 14.0%   +0.074   +0.000    -16.00
Gold      sell   5    -   vwap          35410 100.0%   +0.043   +0.079    -11.42
Gold      buy    5   0.40 conditional   35410 45.9%   +0.075   +3.000    -16.00
Gold      buy    5   0.40 unconditional  35410 48.3%   +0.054   +3.000    -15.00
Gold      buy    5   0.50 conditional   35410 55.7%   +0.082   +3.000    -15.00
Gold      buy    5   0.50 unconditional  35410 58.4%   +0.024   +4.000    -14.00
Gold      buy    5   0.60 conditional   35410 66.1%   +0.043   +3.000    -14.00
Gold      buy    5   0.60 unconditional  35410 67.9%   +0.003   +3.000    -13.00
Gold      buy    5   0.70 conditional   35410 76.2%   -0.012   +2.000    -12.00
Gold      buy    5   0.70 unconditional  35410 79.1%   -0.016   +2.000    -10.00
Gold      buy    5   0.80 conditional   35410 85.6%   -0.041   +1.000     -9.00
Gold      buy    5   0.80 unconditional  35410 89.4%   -0.046   +1.000     -7.00
Gold      buy    5    -   persistence   35410 53.4%   +0.034   +1.000    -15.00
Gold      buy    5    -   random        35410 13.3%   -0.044   +0.000    -17.00
Gold      buy    5    -   vwap          35410 100.0%   -0.043   -0.079    -11.68
Gold      sell  10   0.40 conditional   17272 43.8%   +0.278   +3.000    -22.00
Gold      sell  10   0.40 unconditional  17272 46.2%   +0.336   +4.000    -21.00
Gold      sell  10   0.50 conditional   17272 53.9%   +0.310   +5.000    -21.00
Gold      sell  10   0.50 unconditional  17272 56.7%   +0.250   +6.000    -20.00
Gold      sell  10   0.60 conditional   17272 64.0%   +0.244   +4.000    -19.00
Gold      sell  10   0.60 unconditional  17272 65.6%   +0.261   +5.000    -18.00
Gold      sell  10   0.70 conditional   17272 74.4%   +0.192   +3.000    -17.00
Gold      sell  10   0.70 unconditional  17272 75.8%   +0.166   +3.000    -16.00
Gold      sell  10   0.80 conditional   17272 83.9%   +0.139   +2.000    -14.00
Gold      sell  10   0.80 unconditional  17272 86.2%   +0.065   +2.000    -12.00
Gold      sell  10    -   persistence   17272 52.3%   +0.211   +2.000    -21.00
Gold      sell  10    -   random        17272 16.1%   +0.161   +1.000    -23.00
Gold      sell  10    -   vwap          17272 100.0%   +0.014   +0.127    -16.19
